sid,computing_id,cid,pid,submission,judge_output,status,language,submitted_at,score
1,student2,1001,1001,"","",AC,cpp,2022-07-25 21:34:27.208487,100
50,JavaScriptJatts,1,1004,"#include <bits/stdc++.h>

int main() {

    int L;

    std::cin >> L;

    int sum = 0;

    while(std::cin >> L)
        sum += L;

    std::cout << sum;

    return(0);
}","",AC,C++17,2022-07-30 11:10:40.807957,100
51,PinesCyrex,1,1004,"n = int(input())
nums = list(map(int, input().split()))

# Do calculations
ans = 0
curr = 0
while(curr < n):
    ans += nums[curr]
    curr += 1

print(ans)","",AC,Python3,2022-07-30 11:10:44.68296,100
52,PinesCyrex,1,1004,"n = int(input())
nums = list(map(int, input().split()))
ans = 0

for i in range(n):
    ans += nums[i]


print(ans)","",AC,Python3,2022-07-30 11:11:04.965084,100
53,Albus,1,1004,"n = input()
sum = 0
numbersStr = input()
numbersStr = numbersStr.split(' ')
number = list(map(int,numbersStr))
for i in range(int(n)):
    sum += number[i]
print(sum)","",AC,Python3,2022-07-30 11:11:53.912135,100
55,HS,1,1005,"","/usr/bin/ld: /usr/lib/gcc/x86_64-linux-gnu/11/../../../x86_64-linux-gnu/Scrt1.o: in function `_start':
(.text+0x20): undefined reference to `main'
collect2: error: ld returned 1 exit status
",CERR,C++17,2022-07-30 11:13:28.94154,0
56,NKSquared,1,1004,"n = int(input())
#nums = list(map(int, input().split()))

# Do calculations
ans = 0

for i in range(n):
    x = int(input())
    ans += x
    print(ans)


print(ans)","Error with code 1:
Traceback (most recent call last):
  File ""/code/Main.py"", line 8, in <module>
    x = int(input())
ValueError: invalid literal for int() with base 10: '1 2 3 4 5'
",ERR,Python3,2022-07-30 11:13:38.042965,0
24,student1,1,1007,"#include <cstdio>
#include <map>
#include <string>
using namespace std;

map<int, string> M;

string q_at(int x){
    auto it = M.upper_bound(x);
    it--;
    return it->second;
}

int main(){
    int n, q, a, b;
    char s[12];
    char c;
    map<int, string>::iterator it, rm_start, rm_end;
    scanf(""%d%d"", &n, &q);
    M[-1]=""white"";
    while(q--){
        scanf("" %c"", &c);
        if (c == 'q') {
            scanf(""%d"", &a);
            it = M.upper_bound(a);
            it--;
            printf(""%s\n"",it->second.c_str());
        } else {
            scanf(""%d%d %s"", &a, &b, s);
            string S(s);
            
            string col_after = q_at(b+1);
            rm_start = M.lower_bound(a);
            rm_end = M.upper_bound(b);

            M.erase(rm_start, rm_end);
            M[a] = S;
            M[b+1] = col_after;
        }
    }
}","Failed on case 5, test 0",TLE,C++17,2022-07-30 00:17:25.125366,80
25,student1,1,1007,"#include <cstdio>
#include <map>
#include <string>
using namespace std;

map<int, string> M;

string q_at(int x){
    auto it = M.upper_bound(x);
    it--;
    return it->second;
}

int main(){
    int n, q, a, b;
    char s[12];
    char c;
    map<int, string>::iterator it, rm_start, rm_end;
    scanf(""%d%d"", &n, &q);
    M[-1]=""white"";
    while(q--){
        scanf("" %c"", &c);
        if (c == 'q') {
            scanf(""%d"", &a);
            it = M.upper_bound(a);
            it--;
            printf(""%s\n"",it->second.c_str());
        } else {
            scanf(""%d%d %s"", &a, &b, s);
            string S(s);
            
            string col_after = q_at(b+1);
            rm_start = M.lower_bound(a);
            rm_end = M.upper_bound(b);

            M.erase(rm_start, rm_end);
            M[a] = S;
            M[b+1] = col_after;
        }
    }
}","",AC,C++23,2022-07-30 00:18:04.734779,100
26,student1,1001,1001,"n = gets
nums = gets.split
sum = 0
nums.each{|x| sum += x.to_i}
puts sum",Language doesn't exist,InternalError,Ruby,2022-07-30 10:12:51.776444,0
27,student1,1001,1001,"n = gets
nums = gets.split
sum = 0
nums.each{|x| sum += x.to_i}
puts sum",Problem not found,IERR,Ruby,2022-07-30 10:14:07.046048,0
28,SoloGuy,1001,1001,"
n = int(input())

print(sum([i+1 for i in range(1,n+1)]) ",Problem not found,IERR,Python3,2022-07-30 10:43:15.269811,0
29,SoloGuy,1001,1001,"n = int(input))
print(sum([i*2 for i in range(1, n+1)]))
",Problem not found,IERR,Python3,2022-07-30 10:46:33.653415,0
30,untitled,1001,1001,"#include <bits/stdc++.h>
using namespace std;

int main() {
    int n;
    cin >> n;
    int total = 0;
    for(int i = 0; i <= n; i++){
        total += i;
    }
    total *= 2;
    cout << total << endl;
}",Problem not found,IERR,C++17,2022-07-30 10:49:40.91891,0
31,untitled,1001,1003,"#include <bits/stdc++.h>
using namespace std;

int main() {
    int n;
    cin >> n;
    int total = 0;
    for(int i = 0; i <= n; i++){
        total += i;
    }
    total *= 2;
    cout << total << endl;
}",Problem not found,IERR,C++17,2022-07-30 10:50:22.919023,0
32,untitled,1001,1002,"#include <bits/stdc++.h>
using namespace std;

int main() {
    int n;
    cin >> n;
    int total = 0;
    for(int i = 0; i <= n; i++){
        total += i;
    }
    total *= 2;
    cout << total << endl;
}",Problem not found,IERR,C++17,2022-07-30 10:50:30.327857,0
33,untitled,1001,1001,print(30),Problem not found,IERR,Python3,2022-07-30 10:51:13.306351,0
34,HS,1001,1001,"#include <iostream>
using namespace std;

int main() {
cout << ""Hello world!!!"" << endl;
return 0;
}",Problem not found,IERR,C++17,2022-07-30 10:53:35.998949,0
35,teamAverage,1001,1001,"",Problem not found,IERR,C++23,2022-07-30 10:54:21.906653,0
36,datOvercommon,1001,1001,"int main()
{
  cout << ""Hello"";
}",Problem not found,IERR,C++17,2022-07-30 10:56:48.245202,0
37,NKSquared,1001,1001,"int n = 1;

int f(int n)
{
return 2 * n;
}

int main()
{
std::cout << n << std::endl;
return 0;
}",Problem not found,IERR,C++17,2022-07-30 10:59:51.658679,0
38,teamAverage,1001,1003,"#include <iostream>

using std::cout;
using std::cin;

int main(){
    int x=0;
    int sum=0;
    cin >> x;
    for(int i=0; i<(x+1)*2; i+=2){
        sum += i;       
    }
    cout << sum;
}",Problem not found,IERR,C++17,2022-07-30 11:00:35.853149,0
39,untitled,1,1004,"#include <bits/stdc++.h>
using namespace std;

int main() {
    int n;
    cin >> n;
    long long answer = 0;
    for(int i = 0; i < n; i++){
        int val;
        cin >> val;
        answer += val;
    }
    cout << answer << endl;
}","",AC,C++17,2022-07-30 11:02:04.426146,100
41,NKSquared,1001,1001,"# get user inputs
user_input_n = input(""Enter n: "")
#user_input_a = input(""Enter a: "")

sum = 0

for i in range(user_input_n):
    sum += 2*i
print(sum)",Problem not found,IERR,Python3,2022-07-30 11:02:16.687349,0
40,HS,1,1004,"
#include <bits/stdc++.h>

using namespace std;

int main()
{
    int n;
    cin >> n;
    int sum = 0;
    for (int i = 0; i < n; i++) {
        int a;
        cin >> a;
        
        sum += a;
    }
    cout << sum << endl;

    return 0;
}
","",AC,C++17,2022-07-30 11:02:14.33953,100
42,NKSquared,1001,1001,"# get user inputs
n = input()

sum = 0

for i in range(n):
    sum += 2*i
print(sum)",Problem not found,IERR,C++17,2022-07-30 11:03:13.049743,0
43,SoloGuy,1,1004,"
input()
print(sum(list(map(int, input().strip().split(' ')))))","",AC,Python3,2022-07-30 11:05:02.863428,100
44,YugoslaviaLover1992,1,1004,"n = int(input())
nums = list(map(int, input().split()))

# Do calculations
ans = 0
for i in range(0, n):
    ans += nums[i]

print(ans)","",AC,Python3,2022-07-30 11:05:26.587905,100
45,datOvercommon,1,1004,"#include <iostream>
#include <vector>
#include <string>
#include <map>

using namespace std;


int main()
{
	int n,temp, total = 0;
	cin >> n;
	for (int i = 0; i < n; i++)
	{
		cin >> temp;
		total == temp;
	}
	return total;
}

","WA on case 0, test 0",WA,C++17,2022-07-30 11:06:31.238242,0
46,TeamJin,1,1004,"n = int(input())
nums = list(map(int, input().split()))

# Do calculations
ans = 0
for i in range(n):
    ans += nums[i]

print(ans)","",AC,Python3,2022-07-30 11:06:57.278255,100
47,datOvercommon,1,1004,"#include <iostream>
#include <vector>
#include <string>
#include <map>

using namespace std;


int main()
{
	int n,temp, total = 0;
	cin >> n;
	for (int i = 0; i < n; i++)
	{
		cin >> temp;
		total += temp;
	}
	cout << total;

	return 0;
}

","",AC,C++17,2022-07-30 11:07:36.500866,100
48,rvijayar,1,1004,"#include <bits/stdc++.h>

using namespace std;

int main() {
  ios::sync_with_stdio(false);
  cin.tie(NULL);

  int n, x;
  cin >> n;

  int total = 0;

  while(n--) {
    cin >> x;
    total += x;
  }

  cout << total;

  return 0;
}","",AC,C++17,2022-07-30 11:08:18.699149,100
49,NKSquared,1001,1001,"# get user inputs
n = int(input())

sum = 0

for i in range(1,n + 1):
    sum += 2*i
print(sum)",Problem not found,IERR,Python3,2022-07-30 11:08:25.881004,0
54,glovia,1,1004,"n = int(input(""Please enter a number: ""))
result = (n*(n+1)/2)
print(""The answer is %d"" %(result))","WA on case 0, test 0",WA,Python3,2022-07-30 11:13:24.760059,0
57,NKSquared,1,1004,"n = int(input())
nums = list(map(int, input().split()))

# Do calculations
ans = 0

for i in range(n):
    ans += nums[i]


print(ans)","",AC,Python3,2022-07-30 11:14:39.57307,100
58,teamAverage,1,1004,"using namespace std;
#include <iostream>


int main() {
  int i,tot=0,o=0;
  cin >> i;
  if (i<=100&&i>=2){
    int a[i];
;   for (int k=1;k<=i;k++){
      cin >> o;
      if (o>=1&&o<=100000){
        a[k]=o;
        tot += a[k];
      }
      else{
        k--;
      }
    }
  }
  cout<<tot;
}","",AC,C++17,2022-07-30 11:14:57.925008,100
59,duckduckdoo,1,1004,"#include <iostream>
using namespace std;

int main (int argc, char *argv[])
{
    printf(""%d"", argc);
  return 0;
}","WA on case 0, test 0",WA,C++17,2022-07-30 11:18:51.008077,0
60,TeamJin,1,1007,"nums = list(map(int, input().split()))
n = nums[0]
q = nums[1]

fenceColList = []
for i in range(n):
    fenceColList.insert(""white"")


# for number of queries
    # if first char is p
        # set list a-1 to b-1 to that col
        # 
    # if first char is q
        #print a
        # 

for i in range(q):
    charLst =  list(map(int, input().split()))
    a = int(charLst[1]) - 1
    if charLst[0] == ""p"":
        b = int(charLst[2]) - 1
        for i in range(a, b):
            fenceColList[i] = charLst[3]

    else:
        print(charLst[a])","Error with code 1:
Traceback (most recent call last):
  File ""/code/Main.py"", line 7, in <module>
    fenceColList.insert(""white"")
TypeError: insert expected 2 arguments, got 1
",ERR,Python3,2022-07-30 11:19:29.316239,0
61,TeamJin,1,1007,"nums = list(map(int, input().split()))
n = nums[0]
q = nums[1]

fenceColList = []
for i in range(n):
    fenceColList.append(""white"")


# for number of queries
    # if first char is p
        # set list a-1 to b-1 to that col
        # 
    # if first char is q
        #print a
        # 

for i in range(q):
    charLst =  list(map(str, input().split()))
    a = int(charLst[1]) - 1
    
    if charLst[0] == ""p"":
        b = int(charLst[2]) - 1
        for i in range(a, b):
            fenceColList[i] = charLst[3]

    else:
        print(fenceColList[a])","WA on case 0, test 0",WA,Python3,2022-07-30 11:22:11.441616,0
62,TeamJin,1,1007,"nums = list(map(int, input().split()))
n = nums[0]
q = nums[1]

fenceColList = []
for i in range(n):
    fenceColList.append(""white"")


# for number of queries
    # if first char is p
        # set list a-1 to b-1 to that col
        # 
    # if first char is q
        #print a
        # 

for i in range(q):
    charLst =  list(map(str, input().split()))
    a = int(charLst[1]) - 1
    
    if charLst[0] == ""p"":
        b = int(charLst[2]) - 1
        for i in range(a, b + 1):
            fenceColList[i] = charLst[3]

    else:
        print(fenceColList[a])","Failed on case 2, test 0",TLE,Python3,2022-07-30 11:24:49.961853,20
63,Albus,1,1005,"[n, m] = list(map(int, input().split()))
nums = list(map(int, input().split()))
print(""a"", nums)","WA on case 0, test 0",WA,Python3,2022-07-30 11:26:06.607253,0
64,HS,1,1007,"
#include <bits/stdc++.h>

using namespace std;

int main()
{
    int n, q;
    cin >> n >> q;
    
    // init set
    set<pair<int, string>> color_starts;
    color_starts.insert(pair<int, string>(1, ""white""));
    
    for (int i = 0; i < q; i++) {
        char qtype;
        cin >> qtype;
        if (qtype == 'p') {
            int a, b;
            string col;
            cin >> a >> b >> col;
            auto before_a = color_starts.lower_bound(pair<int, string>(a, """"));
            auto before_b = color_starts.upper_bound(pair<int, string>(b+1, """"));
            
            // edge case: nothing to erase
            if (before_a == before_b) {
                color_starts.insert(pair<int, string>(a, col));
                color_starts.insert(pair<int, string>(b+1, ""white""));
                continue;
            }
            
            auto last_inside = before_b;
            last_inside--;
            string old_color = last_inside->second;
            color_starts.erase(before_a, before_b);
            color_starts.insert(pair<int, string>(a, col));
            color_starts.insert(pair<int, string>(b+1, old_color));
        }
        else { // qtype == 'q'
            int a;
            cin >> a;
        
            auto target_color = color_starts.upper_bound(pair<int, string>(a+1, """"));
            target_color--;
            cout << target_color->second << endl;
        }
    }

    return 0;
}
","WA on case 1, test 0",WA,C++17,2022-07-30 11:29:56.012742,0
92,glovia,1,1004,"# Output the sum of the N numbers
n = int(input())
nums = list(map(int, input().split()))

# Do calculations
ans = 0

for i in range(0,len(nums)):
    ans += nums[i]

print(ans)","",AC,Python3,2022-07-30 12:05:57.606481,100
65,teamAverage,1,1006,"#include <iostream>
#include <iomanip>

using std::cout;
using std::cin;
using std::setw;

int main(){
    int x=0;
    int sum=0;
    cin >> x;
    for(int i=0; i<x; i++){
        if(i==0){
            cout << setw(x+1) << '>' << ""\n"";
            cout << setw(x+1) << '|' << ""\n"";
            cout << setw(x+1) << '.' << ""\n"";
        }   
        else{
            cout << setw(x+1-i) << ""/"";
            for(int j=0; j<i;j++){
                cout << char(65+j);
            }
            
            for(int k=i-2; k>-1;k--){
                cout << char(65+k);
            }
            cout << char(92) << ""\n"";
        }   
    }
}
","",AC,C++17,2022-07-30 11:29:59.693881,50
66,duckduckdoo,1,1006,"n=gets.chop.to_i
s=' '*n
puts ""#{s}>\n#{s}|\n#{s}.""
(1...n).map{|i|
  e=(i+64).chr
  a=[*""A""...e].join
  print "" ""*(n-i),'/',a,e,a.reverse,'\\',""\n""
}","",AC,Ruby,2022-07-30 11:34:24.000772,50
67,untitled,1,1007,"#include <bits/stdc++.h>
using namespace std;

#define rep(i, a, b) for(int i = a; i < (b); ++i)
#define all(x) begin(x), end(x)
#define sz(x) (int)(x).size()
typedef long long ll;
typedef pair<int, int> pii;
typedef vector<int> vi;

const int inf = 1e9;
struct Node {
	Node *l = 0, *r = 0;
	int lo, hi, mset = inf, madd = 0, val = -inf;
	Node(int lo,int hi):lo(lo),hi(hi){} // Large interval of -inf
	Node(vi& v, int lo, int hi) : lo(lo), hi(hi) {
		if (lo + 1 < hi) {
			int mid = lo + (hi - lo)/2;
			l = new Node(v, lo, mid); r = new Node(v, mid, hi);
			val = max(l->val, r->val);
		}
		else val = v[lo];
	}
	int query(int L, int R) {
		if (R <= lo || hi <= L) return -inf;
		if (L <= lo && hi <= R) return val;
		push();
		return max(l->query(L, R), r->query(L, R));
	}
	void set(int L, int R, int x) {
		if (R <= lo || hi <= L) return;
		if (L <= lo && hi <= R) mset = val = x, madd = 0;
		else {
			push(), l->set(L, R, x), r->set(L, R, x);
			val = max(l->val, r->val);
		}
	}
	void add(int L, int R, int x) {
		if (R <= lo || hi <= L) return;
		if (L <= lo && hi <= R) {
			if (mset != inf) mset += x;
			else madd += x;
			val += x;
		}
		else {
			push(), l->add(L, R, x), r->add(L, R, x);
			val = max(l->val, r->val);
		}
	}
	void push() {
		if (!l) {
			int mid = lo + (hi - lo)/2;
			l = new Node(lo, mid); r = new Node(mid, hi);
		}
		if (mset != inf)
			l->set(lo,hi,mset), r->set(lo,hi,mset), mset = inf;
		else if (madd)
			l->add(lo,hi,madd), r->add(lo,hi,madd), madd = 0;
	}
};

map<int, string> colors;

int main() {
	cin.tie(0)->sync_with_stdio(0);
	cin.exceptions(cin.failbit);

    int n, q;
    cin >> n >> q;

    vector<int> vals(n + 7);
    Node* segtree = new Node(vals, 0, sz(vals));
    colors[0] = ""white"";
    int colorIndex = 1;
    for(int i = 0; i < q; i++){
        string s;
        cin >> s;
        if(s == ""q"") {
            int index;
            cin >> index;
            int val = segtree->query(index, index+1);
            cout << colors[val] << endl;
        }else{
            int l, r;
            string color;
            cin >> l >> r >> color;
            segtree->set(l, r+1, colorIndex);
            colors[colorIndex] = color;
            colorIndex++;
        }
    }
}","Failed on case 4, test 0",MLE,C++17,2022-07-30 11:38:02.642918,60
68,coffeepls,1,1004,"#include <iostream>
using namespace std;

#define ll long long

int main() {
    int n;
    cin >> n;
    int arr[n];
    for (int i=0; i<n; ++i)
        cin >> arr[i];
    int sum = 0;
    for (int i=0; i<n; ++i) 
        sum += arr[i];
    cout << sum << endl;
    return 0;
}","",AC,C++17,2022-07-30 11:38:33.756441,100
93,JavaScriptJatts,1,1006,"#include <bits/stdc++.h>
using namespace::std;int main() {vector<string> c;int N;cin >> N;string o = """";for(int l=1;l<N;l++){string p = """";o += "" "";for(int i=0;i<l;i++)p+=char(65+i);for(int i=l-2;i>=0;i--)p+=p.at(i);c.push_back(p);}cout<<o<<"">""<<endl<<o<<""|""<<endl<<o<<"".""<<endl;for(int i=N-2;i>=0;i--){string t="""";for(int s=0;s<i;s++)t+="" "";t+=(""/""+c[N-i-2]+""\\\n"");cout<<t;}}","",AC,C++17,2022-07-30 12:09:21.589248,50
96,duckduckdoo,1,1007,"#include <iostream>
using namespace std;

int main() {
  int numFences, numQueries;
  cin>>numFences>>numQueries;
  string f[numFences];
  for (int i = 0; i < numFences; i++) {
    f[i] = ""white"";
  }
  for (int i = 0; i < numQueries; i++) {
    char command;
    cin>>command;
    if (command == 'p') {
      int start, end;
      string color;
      cin>>start>>end>>color;
      for (int i = start-1; i < end; i++) {
        f[i] = color;
      }
    }
    else if (command == 'q') {
      int fenceNum;
      cin>>fenceNum;
      cout<<f[fenceNum-1]<<endl;
    }
  }
}","Failed on case 3, test 0",TLE,C++17,2022-07-30 12:11:53.201544,40
97,PinesCyrex,1,1007,"#include <iostream>
int main() {
    int fenceCount;
    int qCount;
    std::cin >> fenceCount >> qCount;

    std::string fences[fenceCount];
    std::fill_n(fences, fenceCount, ""white""); // initialize all fences to white

    for (int i = 0; i < qCount; i++) {
        std::string qType;
        std::cin >> qType;
        if (qType == ""q"") {
            int retrieve;
            std::cin >> retrieve;
            std::cout << fences[retrieve - 1];
        } else if (qType == ""p"") {
            int first;
            int last;
            std::string color;
            std::cin >> first >> last >> color;
            for (int i = first - 1; i < last; i++) {
                fences[i] = color;
            }
        }
    }

    return 0;
}","WA on case 0, test 0",WA,C++17,2022-07-30 12:13:30.297477,0
100,PinesCyrex,1,1007,"#include <iostream>
int main() {
    int fenceCount;
    int qCount;
    std::cin >> fenceCount >> qCount;

    std::string fences[fenceCount];
    std::fill_n(fences, fenceCount, ""white""); // initialize all fences to white

    for (int i = 0; i < qCount; i++) {
        std::string qType;
        std::cin >> qType;
        if (qType == ""q"") {
            int retrieve;
            std::cin >> retrieve;
            std::cout << fences[retrieve - 1] << std::endl;
        } else if (qType == ""p"") {
            int first;
            int last;
            std::string color;
            std::cin >> first >> last >> color;
            for (int i = first - 1; i < last; i++) {
                fences[i] = color;
            }
        }
    }

    return 0;
}","Failed on case 3, test 0",TLE,C++17,2022-07-30 12:18:18.088969,40
101,duckduckdoo,1,1007,"#include <iostream>
#include <unordered_map>
using namespace std;

int main() {
  int numFences, numQueries;
  cin>>numFences>>numQueries;
  unordered_map<int, string> f;
  for (int i = 0; i < numQueries; i++) {
    char command;
    cin>>command;
    if (command == 'p') {
      int start, end;
      string color;
      cin>>start>>end>>color;
      for (int i = start-1; i < end; i++) {
        f[i] = color;
      }
    }
    else if (command == 'q') {
      int fenceNum;
      cin>>fenceNum;
      fenceNum--;
      (f.find(fenceNum) == f.end()) ?
        cout<<""white""<<endl :
        cout<<f[fenceNum]<<endl;
    }
  }
}","Failed on case 3, test 0",TLE,C++17,2022-07-30 12:19:57.130875,40
142,datOvercommon,1,1007,"#include <iostream>
#include <map>
#include <vector>
#include <string>
using namespace std;

int main(){
    int plank;
    int query;
    cin >> plank >> query;
    char command;
    map<int, string> fences;
    for(int i = 0; i < plank; i++){
        fences[i] = ""white"";
    }
    vector<string> out;
    for(int i = 0; i < query; i++){
        cin >> command;
        if(command == 'q'){
            int n;
            cin >> n;
            out.push_back(fences[n]);
        }
        if(command == 'p'){
            int start;
            int end;
            string col;
            cin >> start >> end >> col;
            for(int i = start; i <= end; i++){
                fences[i] = col;
            }
        }
    }
    for(const auto i: out){
        cout << i << endl;
        cout.flush();
    }
}","WA on case 1, test 0",WA,C++17,2022-07-30 13:09:56.473854,0
155,HS,1,1006,"n = int(input())
    print(' '*(n-1)+"">"")
    print(' '*(n-1)+""|"")
    s = """"
    print(' '*(n-1)+""."")
    for i in range(0,n-1):
        s += '/'
        for j in range(0,i+1):
            s+= chr(j+65)
        if(i!=0):
            print(' '*((n-2)-i)+s+s[len(s)-2:0:-1]+'\\')
        else:
            print(' '*((n-2)-i)+s+'\\')
        s=""""","Error with code 1:
  File ""/code/Main.py"", line 2
    print(' '*(n-1)+"">"")
IndentationError: unexpected indent
",ERR,Python3,2022-07-30 13:19:00.468999,0
